id,issue_id,changed_by_user_id,old_status,new_status,action_type,details,created_at,updated_at
278,93,1.0,,OPEN,ASSIGN,Issue created via chat,2024-01-19 12:14:08.000000+00,2024-01-19 12:14:08.000000+00
279,93,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-01-19 13:14:08.000000+00,2024-01-19 13:14:08.000000+00
280,93,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-01-19 21:14:08.000000+00,2024-01-19 21:14:08.000000+00
281,93,10.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-01-24 21:14:08.000000+00,2024-01-24 21:14:08.000000+00
282,93,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-01-25 21:14:08.000000+00,2024-01-25 21:14:08.000000+00
283,94,1.0,,OPEN,ASSIGN,Issue created via chat,2024-02-02 13:29:33.000000+00,2024-02-02 13:29:33.000000+00
284,94,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-02-02 14:29:33.000000+00,2024-02-02 14:29:33.000000+00
285,94,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-02-02 19:29:33.000000+00,2024-02-02 19:29:33.000000+00
286,94,10.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-02-07 19:29:33.000000+00,2024-02-07 19:29:33.000000+00
287,94,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-02-08 19:29:33.000000+00,2024-02-08 19:29:33.000000+00
288,95,1.0,,OPEN,ASSIGN,Issue created via chat,2024-02-03 08:46:56.000000+00,2024-02-03 08:46:56.000000+00
289,95,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-02-03 09:46:56.000000+00,2024-02-03 09:46:56.000000+00
290,95,6.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-02-03 12:46:56.000000+00,2024-02-03 12:46:56.000000+00
291,95,6.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-02-08 12:46:56.000000+00,2024-02-08 12:46:56.000000+00
292,95,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-02-11 12:46:56.000000+00,2024-02-11 12:46:56.000000+00
293,96,1.0,,OPEN,ASSIGN,Issue created via chat,2024-02-05 13:49:59.000000+00,2024-02-05 13:49:59.000000+00
294,96,1.0,OPEN,ASSIGNED,ASSIGN,Solver auto-assigned,2024-02-05 14:49:59.000000+00,2024-02-05 14:49:59.000000+00
295,96,10.0,ASSIGNED,IN_PROGRESS,UPDATE,Solver started work,2024-02-05 18:49:59.000000+00,2024-02-05 18:49:59.000000+00
296,96,10.0,IN_PROGRESS,RESOLVED_PENDING_REVIEW,UPDATE,Solver marked work complete,2024-02-07 18:49:59.000000+00,2024-02-07 18:49:59.000000+00
297,96,1.0,RESOLVED_PENDING_REVIEW,COMPLETED,COMPLETE,Supervisor approved completion,2024-02-08 18:49:59.000000+00,2024-02-08 18:49:59.000000+00
