id,issue_id,uploaded_by_user_id,image_url,image_type,ai_flag,ai_details,created_at,updated_at
124,93,1,https://ik.imagekit.io/facility/issues/93/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-01-19 12:14:08.000000+00,2024-01-19 12:14:08.000000+00
125,93,10,https://ik.imagekit.io/facility/issues/93/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-01-24 12:14:08.000000+00,2024-01-24 12:14:08.000000+00
126,94,1,https://ik.imagekit.io/facility/issues/94/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-02-02 13:29:33.000000+00,2024-02-02 13:29:33.000000+00
127,94,10,https://ik.imagekit.io/facility/issues/94/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-02-07 13:29:33.000000+00,2024-02-07 13:29:33.000000+00
128,95,1,https://ik.imagekit.io/facility/issues/95/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-02-03 08:46:56.000000+00,2024-02-03 08:46:56.000000+00
129,95,6,https://ik.imagekit.io/facility/issues/95/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-02-08 08:46:56.000000+00,2024-02-08 08:46:56.000000+00
130,96,10,https://ik.imagekit.io/facility/issues/96/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-02-10 13:49:59.000000+00,2024-02-10 13:49:59.000000+00
131,97,1,https://ik.imagekit.io/facility/issues/97/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-02-07 17:05:46.000000+00,2024-02-07 17:05:46.000000+00
132,98,1,https://ik.imagekit.io/facility/issues/98/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-02-17 10:34:48.000000+00,2024-02-17 10:34:48.000000+00
133,99,1,https://ik.imagekit.io/facility/issues/99/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-03-13 09:01:37.000000+00,2024-03-13 09:01:37.000000+00
134,99,10,https://ik.imagekit.io/facility/issues/99/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-03-27 09:01:37.000000+00,2024-03-27 09:01:37.000000+00
135,100,1,https://ik.imagekit.io/facility/issues/100/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-03-18 11:42:31.000000+00,2024-03-18 11:42:31.000000+00
136,100,7,https://ik.imagekit.io/facility/issues/100/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-03-31 11:42:31.000000+00,2024-03-31 11:42:31.000000+00
137,101,1,https://ik.imagekit.io/facility/issues/101/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-03-22 09:27:22.000000+00,2024-03-22 09:27:22.000000+00
138,101,6,https://ik.imagekit.io/facility/issues/101/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-03-26 09:27:22.000000+00,2024-03-26 09:27:22.000000+00
139,102,1,https://ik.imagekit.io/facility/issues/102/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-03-25 15:06:15.000000+00,2024-03-25 15:06:15.000000+00
140,103,1,https://ik.imagekit.io/facility/issues/103/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-03-28 13:03:41.000000+00,2024-03-28 13:03:41.000000+00
141,104,1,https://ik.imagekit.io/facility/issues/104/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-05-07 09:24:00.000000+00,2024-05-07 09:24:00.000000+00
142,104,8,https://ik.imagekit.io/facility/issues/104/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-05-19 09:24:00.000000+00,2024-05-19 09:24:00.000000+00
143,105,1,https://ik.imagekit.io/facility/issues/105/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-05-13 13:34:03.000000+00,2024-05-13 13:34:03.000000+00
144,106,1,https://ik.imagekit.io/facility/issues/106/before-1.jpg,BEFORE,NOT_CHECKED,{},2024-05-18 13:43:55.000000+00,2024-05-18 13:43:55.000000+00
145,106,10,https://ik.imagekit.io/facility/issues/106/after-1.jpg,AFTER,OK,"{""confidence"":0.92}",2024-05-31 13:43:55.000000+00,2024-05-31 13:43:55.000000+00
