id,user_id,issue_id,role_in_chat,message,attachments,created_at,updated_at,session_id
1,7,1,USER,What is the current progress?,,2022-03-10 08:56:35.000000+00,2022-03-10 08:56:35.000000+00,1
2,,1,AI,The issue is currently OPEN. Solver has been notified.,,2022-03-10 08:58:32.000000+00,2022-03-10 08:58:32.000000+00,1
3,7,1,USER,How many call attempts have been made?,,2022-03-10 08:59:52.000000+00,2022-03-10 08:59:52.000000+00,1
4,,1,AI,The issue is currently OPEN. Solver has been notified.,,2022-03-10 09:00:24.000000+00,2022-03-10 09:00:24.000000+00,1
5,7,1,USER,When was this issue last updated?,,2022-03-10 09:00:36.000000+00,2022-03-10 09:00:36.000000+00,1
6,,2,AI,Issue details: Title — Water seepage issue #2. Status: IN_PROGRESS.,,2022-08-21 17:19:51.000000+00,2022-08-21 17:19:51.000000+00,2
7,2,2,USER,How many call attempts have been made?,,2022-08-21 17:20:36.000000+00,2022-08-21 17:20:36.000000+00,2
8,2,2,USER,Is there any escalation on this issue?,,2022-08-21 17:22:11.000000+00,2022-08-21 17:22:11.000000+00,2
9,,2,AI,The issue is currently IN_PROGRESS. Solver has been notified.,,2022-08-21 17:22:47.000000+00,2022-08-21 17:22:47.000000+00,2
10,2,2,USER,Has the solver been contacted?,,2022-08-21 17:23:27.000000+00,2022-08-21 17:23:27.000000+00,2
11,6,3,USER,Has the solver been contacted?,,2023-04-27 18:38:35.000000+00,2023-04-27 18:38:35.000000+00,3
12,6,3,USER,What is the priority level?,,2023-04-27 18:39:14.000000+00,2023-04-27 18:39:14.000000+00,3
13,,3,AI,"Based on available data, the issue was last updated recently.",,2023-04-27 18:39:59.000000+00,2023-04-27 18:39:59.000000+00,3
14,,3,AI,"Yes, 5 call attempt(s) have been made for this assignment.",,2023-04-27 18:41:10.000000+00,2023-04-27 18:41:10.000000+00,3
15,,3,SYSTEM,Issue context loaded.,,2023-04-27 18:42:45.000000+00,2023-04-27 18:42:45.000000+00,3
16,2,4,USER,When was this issue last updated?,,2023-09-24 15:15:28.000000+00,2023-09-24 15:15:28.000000+00,4
17,,4,AI,Priority is high. Estimated completion pending solver update.,,2023-09-24 15:16:35.000000+00,2023-09-24 15:16:35.000000+00,4
18,2,4,USER,Has the solver been contacted?,,2023-09-24 15:17:25.000000+00,2023-09-24 15:17:25.000000+00,4
19,,4,AI,The solver was contacted and acknowledged the issue.,,2023-09-24 15:17:50.000000+00,2023-09-24 15:17:50.000000+00,4
20,2,5,USER,Has the solver been contacted?,,2022-07-15 13:51:19.000000+00,2022-07-15 13:51:19.000000+00,5
21,,5,SYSTEM,Session started.,,2022-07-15 13:52:28.000000+00,2022-07-15 13:52:28.000000+00,5
22,2,5,USER,When was this issue last updated?,,2022-07-15 13:53:50.000000+00,2022-07-15 13:53:50.000000+00,5
23,,5,AI,This issue has a medium priority with deadline approaching.,,2022-07-15 13:55:47.000000+00,2022-07-15 13:55:47.000000+00,5
24,,5,SYSTEM,AI assistant ready.,,2022-07-15 13:57:07.000000+00,2022-07-15 13:57:07.000000+00,5
25,,7,AI,There are no escalations at this time for this issue.,,2024-10-03 12:34:59.000000+00,2024-10-03 12:34:59.000000+00,6
26,3,7,USER,What is the current progress?,,2024-10-03 12:35:41.000000+00,2024-10-03 12:35:41.000000+00,6
27,,9,AI,There are no escalations at this time for this issue.,,2025-01-31 15:28:12.000000+00,2025-01-31 15:28:12.000000+00,7
28,,9,AI,"Yes, 5 call attempt(s) have been made for this assignment.",,2025-01-31 15:28:41.000000+00,2025-01-31 15:28:41.000000+00,7
29,,9,AI,This issue has a high priority with deadline approaching.,,2025-01-31 15:30:04.000000+00,2025-01-31 15:30:04.000000+00,7
30,4,11,USER,What is the priority level?,,2025-05-10 18:45:39.000000+00,2025-05-10 18:45:39.000000+00,8
31,,11,AI,This issue has a medium priority with deadline approaching.,,2025-05-10 18:47:21.000000+00,2025-05-10 18:47:21.000000+00,8
32,,11,AI,The solver was contacted and acknowledged the issue.,,2025-05-10 18:48:15.000000+00,2025-05-10 18:48:15.000000+00,8
33,4,11,USER,What is the priority level?,,2025-05-10 18:49:09.000000+00,2025-05-10 18:49:09.000000+00,8
34,5,14,USER,Can you give me the status of this issue?,,2025-07-16 18:58:51.000000+00,2025-07-16 18:58:51.000000+00,9
35,5,14,USER,How many call attempts have been made?,,2025-07-16 18:59:16.000000+00,2025-07-16 18:59:16.000000+00,9
36,5,14,USER,Can you give me the status of this issue?,,2025-07-16 19:00:41.000000+00,2025-07-16 19:00:41.000000+00,9
37,1,16,USER,Is there any escalation on this issue?,,2025-01-09 17:23:13.000000+00,2025-01-09 17:23:13.000000+00,10
38,1,16,USER,What is the current progress?,,2025-01-09 17:25:10.000000+00,2025-01-09 17:25:10.000000+00,10
39,1,16,USER,Can you give me the status of this issue?,,2025-01-09 17:26:43.000000+00,2025-01-09 17:26:43.000000+00,10
40,1,16,USER,Can I see the issue details?,,2025-01-09 17:27:26.000000+00,2025-01-09 17:27:26.000000+00,10
41,1,16,USER,Has the solver been contacted?,,2025-01-09 17:29:13.000000+00,2025-01-09 17:29:13.000000+00,10
42,,17,AI,This issue has a medium priority with deadline approaching.,,2024-09-07 15:50:29.000000+00,2024-09-07 15:50:29.000000+00,11
43,10,17,USER,What is the current progress?,,2024-09-07 15:51:26.000000+00,2024-09-07 15:51:26.000000+00,11
44,10,17,USER,Can I see the issue details?,,2024-09-07 15:52:26.000000+00,2024-09-07 15:52:26.000000+00,11
45,,18,AI,Priority is medium. Estimated completion pending solver update.,,2025-11-27 07:04:09.000000+00,2025-11-27 07:04:09.000000+00,12
46,,18,AI,The issue is currently IN_PROGRESS. Solver has been notified.,,2025-11-27 07:05:57.000000+00,2025-11-27 07:05:57.000000+00,12
47,,21,AI,Issue details: Title — Roof leak reported #21. Status: RESOLVED_PENDING_REVIEW.,,2024-09-16 07:46:54.000000+00,2024-09-16 07:46:54.000000+00,13
48,1,21,USER,How many call attempts have been made?,,2024-09-16 07:48:38.000000+00,2024-09-16 07:48:38.000000+00,13
49,1,22,USER,Is there any escalation on this issue?,,2025-10-02 11:58:59.000000+00,2025-10-02 11:58:59.000000+00,14
50,1,22,USER,What is the current progress?,,2025-10-02 11:59:48.000000+00,2025-10-02 11:59:48.000000+00,14
51,1,22,USER,How many call attempts have been made?,,2025-10-02 12:01:02.000000+00,2025-10-02 12:01:02.000000+00,14
52,1,22,USER,What is the current progress?,,2025-10-02 12:02:39.000000+00,2025-10-02 12:02:39.000000+00,14
53,5,25,USER,When was this issue last updated?,,2023-01-09 13:39:49.000000+00,2023-01-09 13:39:49.000000+00,15
54,5,25,USER,Can you give me the status of this issue?,,2023-01-09 13:40:37.000000+00,2023-01-09 13:40:37.000000+00,15
55,5,25,USER,How many call attempts have been made?,,2023-01-09 13:41:00.000000+00,2023-01-09 13:41:00.000000+00,15
56,,25,AI,The solver was contacted and acknowledged the issue.,,2023-01-09 13:41:13.000000+00,2023-01-09 13:41:13.000000+00,15
57,10,26,USER,Can I see the issue details?,,2022-03-08 14:01:56.000000+00,2022-03-08 14:01:56.000000+00,16
58,,26,AI,The issue is currently REOPENED. Solver has been notified.,,2022-03-08 14:02:57.000000+00,2022-03-08 14:02:57.000000+00,16
59,,26,AI,"Yes, 2 call attempt(s) have been made for this assignment.",,2022-03-08 14:04:19.000000+00,2022-03-08 14:04:19.000000+00,16
60,,26,AI,Issue details: Title — Pump motor failure #26. Status: REOPENED.,,2022-03-08 14:04:59.000000+00,2022-03-08 14:04:59.000000+00,16
61,4,28,USER,What is the priority level?,,2023-07-16 18:03:11.000000+00,2023-07-16 18:03:11.000000+00,17
62,4,28,USER,What is the current progress?,,2023-07-16 18:03:38.000000+00,2023-07-16 18:03:38.000000+00,17
63,,28,AI,The solver was contacted and acknowledged the issue.,,2023-07-16 18:04:58.000000+00,2023-07-16 18:04:58.000000+00,17
64,,28,AI,Issue details: Title — Generator fault #28. Status: COMPLETED.,,2023-07-16 18:06:56.000000+00,2023-07-16 18:06:56.000000+00,17
65,6,30,USER,Can I see the issue details?,,2022-06-18 15:41:26.000000+00,2022-06-18 15:41:26.000000+00,18
66,,30,AI,There are no escalations at this time for this issue.,,2022-06-18 15:43:17.000000+00,2022-06-18 15:43:17.000000+00,18
67,,30,AI,This issue has a low priority with deadline approaching.,,2022-06-18 15:44:37.000000+00,2022-06-18 15:44:37.000000+00,18
68,,30,AI,Issue details: Title — Mechanical breakdown #30. Status: COMPLETED.,,2022-06-18 15:46:25.000000+00,2022-06-18 15:46:25.000000+00,18
69,,30,AI,This issue has a low priority with deadline approaching.,,2022-06-18 15:48:08.000000+00,2022-06-18 15:48:08.000000+00,18
70,,32,AI,"Based on available data, the issue was last updated recently.",,2024-11-02 08:26:35.000000+00,2024-11-02 08:26:35.000000+00,19
71,7,32,USER,Can you give me the status of this issue?,,2024-11-02 08:26:52.000000+00,2024-11-02 08:26:52.000000+00,19
72,,32,AI,There are no escalations at this time for this issue.,,2024-11-02 08:28:32.000000+00,2024-11-02 08:28:32.000000+00,19
73,,32,SYSTEM,Data retrieved from facility management system.,,2024-11-02 08:30:15.000000+00,2024-11-02 08:30:15.000000+00,19
74,7,32,USER,What is the priority level?,,2024-11-02 08:30:51.000000+00,2024-11-02 08:30:51.000000+00,19
75,2,33,USER,Is there any escalation on this issue?,,2022-06-09 16:33:17.000000+00,2022-06-09 16:33:17.000000+00,20
76,,33,SYSTEM,AI assistant ready.,,2022-06-09 16:33:45.000000+00,2022-06-09 16:33:45.000000+00,20
77,,33,AI,The issue is currently IN_PROGRESS. Solver has been notified.,,2022-06-09 16:34:02.000000+00,2022-06-09 16:34:02.000000+00,20
78,,33,AI,The issue is currently IN_PROGRESS. Solver has been notified.,,2022-06-09 16:34:42.000000+00,2022-06-09 16:34:42.000000+00,20
79,2,33,USER,Can I see the issue details?,,2022-06-09 16:36:26.000000+00,2022-06-09 16:36:26.000000+00,20
80,,34,AI,The solver was contacted and acknowledged the issue.,,2023-03-26 11:17:08.000000+00,2023-03-26 11:17:08.000000+00,21
81,,34,SYSTEM,Data retrieved from facility management system.,,2023-03-26 11:18:24.000000+00,2023-03-26 11:18:24.000000+00,21
82,8,34,USER,Has the solver been contacted?,,2023-03-26 11:19:15.000000+00,2023-03-26 11:19:15.000000+00,21
83,8,34,USER,What is the current progress?,,2023-03-26 11:20:44.000000+00,2023-03-26 11:20:44.000000+00,21
84,,34,AI,The solver was contacted and acknowledged the issue.,,2023-03-26 11:21:26.000000+00,2023-03-26 11:21:26.000000+00,21
85,,35,AI,There are no escalations at this time for this issue.,,2026-01-04 17:48:38.000000+00,2026-01-04 17:48:38.000000+00,22
86,6,35,USER,What is the priority level?,,2026-01-04 17:50:03.000000+00,2026-01-04 17:50:03.000000+00,22
87,,35,AI,The issue is currently REOPENED. Solver has been notified.,,2026-01-04 17:51:13.000000+00,2026-01-04 17:51:13.000000+00,22
88,6,35,USER,When was this issue last updated?,,2026-01-04 17:52:08.000000+00,2026-01-04 17:52:08.000000+00,22
89,,36,SYSTEM,Session started.,,2025-10-13 11:16:37.000000+00,2025-10-13 11:16:37.000000+00,23
90,,36,AI,Priority is medium. Estimated completion pending solver update.,,2025-10-13 11:18:19.000000+00,2025-10-13 11:18:19.000000+00,23
91,,36,AI,The solver was contacted and acknowledged the issue.,,2025-10-13 11:20:05.000000+00,2025-10-13 11:20:05.000000+00,23
92,,36,AI,There are no escalations at this time for this issue.,,2025-10-13 11:20:57.000000+00,2025-10-13 11:20:57.000000+00,23
93,9,36,USER,Is there any escalation on this issue?,,2025-10-13 11:22:24.000000+00,2025-10-13 11:22:24.000000+00,23
94,,37,AI,The solver was contacted and acknowledged the issue.,,2023-04-03 17:09:31.000000+00,2023-04-03 17:09:31.000000+00,24
95,,37,AI,"Based on available data, the issue was last updated recently.",,2023-04-03 17:10:28.000000+00,2023-04-03 17:10:28.000000+00,24
96,,37,AI,There are no escalations at this time for this issue.,,2023-04-03 17:11:46.000000+00,2023-04-03 17:11:46.000000+00,24
97,,37,AI,This issue has a low priority with deadline approaching.,,2023-04-03 17:12:42.000000+00,2023-04-03 17:12:42.000000+00,24
