id,issue_id,assigned_to_solver_id,assigned_by_supervisor_id,due_date,status,created_at,updated_at
1,2,10,3,2022-09-01 17:07:15.000000+00,ACTIVE,2022-08-21 17:07:15.000000+00,2022-08-24 01:07:15.000000+00
2,3,8,2,2023-05-16 18:20:56.000000+00,COMPLETED,2023-04-27 18:20:56.000000+00,2023-04-30 12:20:56.000000+00
3,4,9,1,2023-10-04 14:38:54.000000+00,COMPLETED,2023-09-24 14:38:54.000000+00,2023-09-26 17:38:54.000000+00
4,5,10,2,2022-07-21 12:51:03.000000+00,COMPLETED,2022-07-15 12:51:03.000000+00,2022-07-18 08:51:03.000000+00
5,6,9,2,2022-01-13 12:54:41.000000+00,ACTIVE,2022-01-08 12:54:41.000000+00,2022-01-09 20:54:41.000000+00
6,7,7,3,2024-10-20 12:15:09.000000+00,REOPENED,2024-10-03 12:15:09.000000+00,2024-10-04 23:15:09.000000+00
7,8,7,2,2024-06-15 18:46:19.000000+00,REOPENED,2024-06-06 18:46:19.000000+00,2024-06-07 18:46:19.000000+00
8,9,9,3,2025-02-09 14:28:47.000000+00,ACTIVE,2025-01-31 14:28:47.000000+00,2025-02-01 06:28:47.000000+00
9,10,8,1,2026-01-21 17:02:12.000000+00,COMPLETED,2026-01-08 17:02:12.000000+00,2026-01-09 21:02:12.000000+00
10,12,10,1,2023-10-10 18:20:05.000000+00,COMPLETED,2023-10-01 18:20:05.000000+00,2023-10-01 21:20:05.000000+00
11,13,9,3,2022-07-04 16:44:32.000000+00,ACTIVE,2022-06-19 16:44:32.000000+00,2022-06-21 02:44:32.000000+00
12,14,7,1,2025-07-21 18:44:21.000000+00,ACTIVE,2025-07-16 18:44:21.000000+00,2025-07-17 17:44:21.000000+00
13,16,9,2,2025-01-30 16:29:46.000000+00,ACTIVE,2025-01-09 16:29:46.000000+00,2025-01-11 11:29:46.000000+00
14,17,9,2,2024-09-18 15:13:08.000000+00,COMPLETED,2024-09-07 15:13:08.000000+00,2024-09-10 00:13:08.000000+00
15,18,8,2,2025-12-10 06:22:55.000000+00,ACTIVE,2025-11-27 06:22:55.000000+00,2025-11-27 13:22:55.000000+00
16,19,9,1,2024-05-21 08:33:01.000000+00,ACTIVE,2024-05-08 08:33:01.000000+00,2024-05-10 04:33:01.000000+00
17,20,7,1,2022-06-22 14:07:35.000000+00,ACTIVE,2022-06-15 14:07:35.000000+00,2022-06-18 11:07:35.000000+00
18,21,8,2,2024-09-23 06:52:16.000000+00,ACTIVE,2024-09-16 06:52:16.000000+00,2024-09-19 05:52:16.000000+00
19,22,9,1,2025-10-18 11:25:23.000000+00,REOPENED,2025-10-02 11:25:23.000000+00,2025-10-04 04:25:23.000000+00
20,23,9,2,2022-07-25 08:14:46.000000+00,COMPLETED,2022-07-11 08:14:46.000000+00,2022-07-11 20:14:46.000000+00
21,26,6,1,2022-03-13 13:41:30.000000+00,REOPENED,2022-03-08 13:41:30.000000+00,2022-03-09 23:41:30.000000+00
22,27,9,1,2025-03-06 09:07:47.000000+00,COMPLETED,2025-03-01 09:07:47.000000+00,2025-03-04 01:07:47.000000+00
23,28,7,2,2023-08-05 17:05:52.000000+00,COMPLETED,2023-07-16 17:05:52.000000+00,2023-07-17 03:05:52.000000+00
24,30,7,1,2022-07-03 15:27:48.000000+00,COMPLETED,2022-06-18 15:27:48.000000+00,2022-06-20 05:27:48.000000+00
25,31,6,1,2022-03-09 12:57:35.000000+00,ACTIVE,2022-03-04 12:57:35.000000+00,2022-03-07 08:57:35.000000+00
26,32,9,1,2024-11-15 07:32:37.000000+00,REOPENED,2024-11-02 07:32:37.000000+00,2024-11-03 19:32:37.000000+00
27,33,8,3,2022-06-14 15:44:44.000000+00,ACTIVE,2022-06-09 15:44:44.000000+00,2022-06-10 08:44:44.000000+00
28,34,9,2,2023-04-05 10:59:01.000000+00,COMPLETED,2023-03-26 10:59:01.000000+00,2023-03-26 21:59:01.000000+00
29,35,10,2,2026-01-17 17:36:51.000000+00,REOPENED,2026-01-04 17:36:51.000000+00,2026-01-06 05:36:51.000000+00
30,36,9,1,2025-10-23 10:34:50.000000+00,COMPLETED,2025-10-13 10:34:50.000000+00,2025-10-13 23:34:50.000000+00
31,37,9,2,2023-04-19 16:56:19.000000+00,ACTIVE,2023-04-03 16:56:19.000000+00,2023-04-05 22:56:19.000000+00
32,38,7,3,2025-08-04 15:08:08.000000+00,ACTIVE,2025-07-27 15:08:08.000000+00,2025-07-29 17:08:08.000000+00
33,39,6,2,2024-09-04 16:30:09.000000+00,COMPLETED,2024-08-24 16:30:09.000000+00,2024-08-25 21:30:09.000000+00
34,40,7,1,2025-03-15 16:46:14.000000+00,REOPENED,2025-03-09 16:46:14.000000+00,2025-03-10 10:46:14.000000+00
35,41,9,1,2025-11-01 08:53:52.000000+00,REOPENED,2025-10-25 08:53:52.000000+00,2025-10-28 03:53:52.000000+00
36,42,9,1,2024-06-03 13:01:35.000000+00,COMPLETED,2024-05-29 13:01:35.000000+00,2024-05-30 15:01:35.000000+00
37,43,9,3,2025-05-11 17:24:22.000000+00,REOPENED,2025-05-02 17:24:22.000000+00,2025-05-03 08:24:22.000000+00
38,44,8,1,2024-11-16 22:24:32.000000+00,COMPLETED,2024-11-09 22:24:32.000000+00,2024-11-09 23:24:32.000000+00
