id,site_id,raised_by_supervisor_id,title,description,priority,deadline_at,status,track_status,latitude,longitude,created_at,updated_at
1,15,1,HVAC not cooling #1,Plumbing issue at site. Priority: medium. Requires immediate attention.,medium,2022-03-18 08:42:16.000000+00,OPEN,ON_TRACK,12.826737,80.186501,2022-03-10 08:42:16.000000+00,2022-03-11 18:42:16.000000+00
2,9,3,Water seepage issue #2,Network issue at site. Priority: medium. Requires immediate attention.,medium,2022-09-01 17:07:15.000000+00,IN_PROGRESS,DELAYED,12.689564,80.021234,2022-08-21 17:07:15.000000+00,2022-08-22 17:07:15.000000+00
3,2,2,Sewage backup #3,Hvac issue at site. Priority: low. Requires immediate attention.,low,2023-05-16 18:20:56.000000+00,COMPLETED,DELAYED,12.946095,80.22832,2023-04-27 18:20:56.000000+00,2023-04-29 11:20:56.000000+00
4,16,1,Leaking pipe in restroom #4,Plumbing issue at site. Priority: high. Requires immediate attention.,high,2023-10-04 14:38:54.000000+00,COMPLETED,DELAYED,12.970855,80.253935,2023-09-24 14:38:54.000000+00,2023-09-26 07:38:54.000000+00
5,17,2,Exhaust fan issue #5,Electrical issue at site. Priority: medium. Requires immediate attention.,medium,2022-07-21 12:51:03.000000+00,COMPLETED,ON_TRACK,13.119151,80.013767,2022-07-15 12:51:03.000000+00,2022-07-17 00:51:03.000000+00
6,17,2,Water seepage issue #6,Carpentry issue at site. Priority: high. Requires immediate attention.,high,2022-01-13 12:54:41.000000+00,IN_PROGRESS,DELAYED,12.928487,80.113139,2022-01-08 12:54:41.000000+00,2022-01-09 13:54:41.000000+00
7,7,3,Roof leak reported #7,Network issue at site. Priority: low. Requires immediate attention.,low,2024-10-20 12:15:09.000000+00,ESCALATED,DELAYED,12.639318,80.21349,2024-10-03 12:15:09.000000+00,2024-10-05 11:15:09.000000+00
8,6,2,Window seal damaged #8,Network issue at site. Priority: high. Requires immediate attention.,high,2024-06-15 18:46:19.000000+00,REOPENED,DELAYED,12.778552,79.909319,2024-06-06 18:46:19.000000+00,2024-06-07 03:46:19.000000+00
9,12,3,AC unit malfunction #9,Carpentry issue at site. Priority: high. Requires immediate attention.,high,2025-02-09 14:28:47.000000+00,RESOLVED_PENDING_REVIEW,ON_TRACK,12.728325,80.039313,2025-01-31 14:28:47.000000+00,2025-01-31 17:28:47.000000+00
10,13,1,Light fixture failure #10,Hvac issue at site. Priority: low. Requires immediate attention.,low,2026-01-21 17:02:12.000000+00,COMPLETED,DELAYED,12.694003,80.325764,2026-01-08 17:02:12.000000+00,2026-01-08 20:02:12.000000+00
11,6,2,Leaking pipe in restroom #11,Mechanical issue at site. Priority: medium. Requires immediate attention.,medium,2025-05-23 18:23:21.000000+00,OPEN,DELAYED,13.00991,80.032225,2025-05-10 18:23:21.000000+00,2025-05-12 01:23:21.000000+00
12,13,1,Exhaust fan issue #12,Hvac issue at site. Priority: medium. Requires immediate attention.,medium,2023-10-10 18:20:05.000000+00,COMPLETED,DELAYED,12.907788,80.331987,2023-10-01 18:20:05.000000+00,2023-10-01 20:20:05.000000+00
13,8,3,Floor drain blocked #13,Carpentry issue at site. Priority: low. Requires immediate attention.,low,2022-07-04 16:44:32.000000+00,IN_PROGRESS,DELAYED,12.707073,80.342035,2022-06-19 16:44:32.000000+00,2022-06-20 01:44:32.000000+00
14,15,1,Ceiling tile damage #14,Network issue at site. Priority: medium. Requires immediate attention.,medium,2025-07-21 18:44:21.000000+00,RESOLVED_PENDING_REVIEW,ON_TRACK,12.773818,80.187587,2025-07-16 18:44:21.000000+00,2025-07-17 08:44:21.000000+00
15,7,3,Water seepage issue #15,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2025-07-13 16:16:37.000000+00,OPEN,DELAYED,13.130088,79.954981,2025-07-03 16:16:37.000000+00,2025-07-03 23:16:37.000000+00
16,3,2,Roof leak reported #16,Plumbing issue at site. Priority: low. Requires immediate attention.,low,2025-01-30 16:29:46.000000+00,ASSIGNED,DELAYED,13.072424,80.14497,2025-01-09 16:29:46.000000+00,2025-01-10 08:29:46.000000+00
17,19,2,Electrical fault in panel #17,Plumbing issue at site. Priority: medium. Requires immediate attention.,medium,2024-09-18 15:13:08.000000+00,COMPLETED,DELAYED,12.986417,80.34975,2024-09-07 15:13:08.000000+00,2024-09-07 18:13:08.000000+00
18,3,2,Door hinge broken #18,Plumbing issue at site. Priority: medium. Requires immediate attention.,medium,2025-12-10 06:22:55.000000+00,IN_PROGRESS,ON_TRACK,12.898,80.332765,2025-11-27 06:22:55.000000+00,2025-11-28 15:22:55.000000+00
19,14,1,Painting required #19,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2024-05-21 08:33:01.000000+00,IN_PROGRESS,ON_TRACK,13.135094,79.904802,2024-05-08 08:33:01.000000+00,2024-05-08 10:33:01.000000+00
20,1,1,Leaking pipe in restroom #20,Network issue at site. Priority: medium. Requires immediate attention.,medium,2022-06-22 14:07:35.000000+00,RESOLVED_PENDING_REVIEW,ON_TRACK,13.102558,80.135741,2022-06-15 14:07:35.000000+00,2022-06-16 15:07:35.000000+00
21,11,2,Roof leak reported #21,Mechanical issue at site. Priority: high. Requires immediate attention.,high,2024-09-23 06:52:16.000000+00,RESOLVED_PENDING_REVIEW,ON_TRACK,13.037557,80.270368,2024-09-16 06:52:16.000000+00,2024-09-18 05:52:16.000000+00
22,14,1,Electrical fault in panel #22,Plumbing issue at site. Priority: low. Requires immediate attention.,low,2025-10-18 11:25:23.000000+00,REOPENED,ON_TRACK,13.07525,79.960267,2025-10-02 11:25:23.000000+00,2025-10-04 02:25:23.000000+00
23,3,2,Water seepage issue #23,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2022-07-25 08:14:46.000000+00,COMPLETED,ON_TRACK,12.772102,80.142653,2022-07-11 08:14:46.000000+00,2022-07-12 18:14:46.000000+00
24,16,1,Mechanical breakdown #24,Hvac issue at site. Priority: high. Requires immediate attention.,high,2025-07-31 10:48:26.000000+00,OPEN,DELAYED,12.70236,80.225329,2025-07-25 10:48:26.000000+00,2025-07-26 19:48:26.000000+00
25,5,1,Ceiling tile damage #25,Plumbing issue at site. Priority: low. Requires immediate attention.,low,2023-01-17 13:21:26.000000+00,OPEN,ON_TRACK,12.655335,80.3202,2023-01-09 13:21:26.000000+00,2023-01-11 00:21:26.000000+00
26,14,1,Pump motor failure #26,Carpentry issue at site. Priority: medium. Requires immediate attention.,medium,2022-03-13 13:41:30.000000+00,REOPENED,DELAYED,13.066811,80.051871,2022-03-08 13:41:30.000000+00,2022-03-09 17:41:30.000000+00
27,14,1,Electrical fault in panel #27,Painting issue at site. Priority: high. Requires immediate attention.,high,2025-03-06 09:07:47.000000+00,COMPLETED,DELAYED,12.85591,80.280942,2025-03-01 09:07:47.000000+00,2025-03-01 13:07:47.000000+00
28,17,2,Generator fault #28,Electrical issue at site. Priority: low. Requires immediate attention.,low,2023-08-05 17:05:52.000000+00,COMPLETED,ON_TRACK,13.057642,80.073828,2023-07-16 17:05:52.000000+00,2023-07-18 17:05:52.000000+00
29,7,3,Window seal damaged #29,Plumbing issue at site. Priority: high. Requires immediate attention.,high,2022-10-07 15:25:05.000000+00,OPEN,DELAYED,13.138496,80.060108,2022-09-30 15:25:05.000000+00,2022-10-01 03:25:05.000000+00
30,14,1,Mechanical breakdown #30,Network issue at site. Priority: low. Requires immediate attention.,low,2022-07-03 15:27:48.000000+00,COMPLETED,DELAYED,12.986491,79.964168,2022-06-18 15:27:48.000000+00,2022-06-19 08:27:48.000000+00
31,10,1,Mechanical breakdown #31,Carpentry issue at site. Priority: medium. Requires immediate attention.,medium,2022-03-09 12:57:35.000000+00,IN_PROGRESS,ON_TRACK,13.076287,80.343316,2022-03-04 12:57:35.000000+00,2022-03-05 04:57:35.000000+00
32,16,1,Water seepage issue #32,Painting issue at site. Priority: medium. Requires immediate attention.,medium,2024-11-15 07:32:37.000000+00,REOPENED,DELAYED,12.681897,79.920754,2024-11-02 07:32:37.000000+00,2024-11-03 23:32:37.000000+00
33,4,3,Light fixture failure #33,Plumbing issue at site. Priority: medium. Requires immediate attention.,medium,2022-06-14 15:44:44.000000+00,IN_PROGRESS,DELAYED,12.963409,79.921371,2022-06-09 15:44:44.000000+00,2022-06-11 05:44:44.000000+00
34,3,2,Painting required #34,Painting issue at site. Priority: high. Requires immediate attention.,high,2023-04-05 10:59:01.000000+00,COMPLETED,ON_TRACK,13.195136,80.162305,2023-03-26 10:59:01.000000+00,2023-03-28 01:59:01.000000+00
35,19,2,Sewage backup #35,Network issue at site. Priority: low. Requires immediate attention.,low,2026-01-17 17:36:51.000000+00,REOPENED,DELAYED,13.121748,80.195547,2026-01-04 17:36:51.000000+00,2026-01-06 08:36:51.000000+00
36,15,1,Cable tray damage #36,Plumbing issue at site. Priority: medium. Requires immediate attention.,medium,2025-10-23 10:34:50.000000+00,COMPLETED,ON_TRACK,12.947568,80.18655,2025-10-13 10:34:50.000000+00,2025-10-14 08:34:50.000000+00
37,19,2,Mechanical breakdown #37,Plumbing issue at site. Priority: low. Requires immediate attention.,low,2023-04-19 16:56:19.000000+00,IN_PROGRESS,DELAYED,12.97127,80.338684,2023-04-03 16:56:19.000000+00,2023-04-04 05:56:19.000000+00
38,4,3,Window seal damaged #38,Electrical issue at site. Priority: medium. Requires immediate attention.,medium,2025-08-04 15:08:08.000000+00,IN_PROGRESS,ON_TRACK,12.776659,79.963581,2025-07-27 15:08:08.000000+00,2025-07-29 03:08:08.000000+00
39,2,2,Window seal damaged #39,Mechanical issue at site. Priority: medium. Requires immediate attention.,medium,2024-09-04 16:30:09.000000+00,COMPLETED,DELAYED,12.984144,80.105732,2024-08-24 16:30:09.000000+00,2024-08-24 18:30:09.000000+00
40,15,1,Light fixture failure #40,Electrical issue at site. Priority: high. Requires immediate attention.,high,2025-03-15 16:46:14.000000+00,ESCALATED,DELAYED,12.795467,80.198144,2025-03-09 16:46:14.000000+00,2025-03-11 02:46:14.000000+00
41,5,1,Window seal damaged #41,Carpentry issue at site. Priority: high. Requires immediate attention.,high,2025-11-01 08:53:52.000000+00,REOPENED,DELAYED,13.096808,80.303763,2025-10-25 08:53:52.000000+00,2025-10-25 16:53:52.000000+00
42,5,1,Sewage backup #42,Carpentry issue at site. Priority: high. Requires immediate attention.,high,2024-06-03 13:01:35.000000+00,COMPLETED,DELAYED,12.843739,80.243397,2024-05-29 13:01:35.000000+00,2024-05-30 17:01:35.000000+00
43,9,3,Mechanical breakdown #43,Plumbing issue at site. Priority: high. Requires immediate attention.,high,2025-05-11 17:24:22.000000+00,ESCALATED,ON_TRACK,12.978212,80.315558,2025-05-02 17:24:22.000000+00,2025-05-04 00:24:22.000000+00
44,14,1,Floor drain blocked #44,Plumbing issue at site. Priority: medium. Requires immediate attention.,medium,2024-11-16 22:24:32.000000+00,COMPLETED,DELAYED,13.059895,80.263255,2024-11-09 22:24:32.000000+00,2024-11-10 06:24:32.000000+00
45,9,3,Ceiling tile damage #45,Painting issue at site. Priority: low. Requires immediate attention.,low,2022-11-08 07:48:13.000000+00,COMPLETED,DELAYED,12.924881,80.00827,2022-10-26 07:48:13.000000+00,2022-10-27 01:48:13.000000+00
46,2,2,Leaking pipe in restroom #46,Painting issue at site. Priority: high. Requires immediate attention.,high,2022-02-20 18:07:42.000000+00,ESCALATED,DELAYED,12.88705,80.000681,2022-02-15 18:07:42.000000+00,2022-02-17 03:07:42.000000+00
