"id","assignment_id","solver_id","attempt_number","initiated_at","answered_at","ended_at","status","updated_at","call_sid"
"1","1","6","1","2026-01-31 11:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"2","1","6","2","2026-01-31 13:30:13.703505+00","2026-01-31 13:30:28.703505+00","2026-01-31 13:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"3","2","7","1","2026-02-03 10:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"4","2","7","2","2026-02-03 12:30:13.703505+00","2026-02-03 12:30:28.703505+00","2026-02-03 12:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"5","3","8","1","2026-02-01 09:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"6","3","8","2","2026-02-01 11:30:13.703505+00","2026-02-01 11:30:28.703505+00","2026-02-01 11:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"7","4","9","1","2026-02-05 08:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"8","4","9","2","2026-02-05 10:30:13.703505+00","2026-02-05 10:30:28.703505+00","2026-02-05 10:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"9","5","10","1","2026-02-04 07:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"10","5","10","2","2026-02-04 09:30:13.703505+00","2026-02-04 09:30:28.703505+00","2026-02-04 09:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"11","6","6","1","2026-01-26 06:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"12","6","6","2","2026-01-26 08:30:13.703505+00","2026-01-26 08:30:28.703505+00","2026-01-26 08:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"13","7","7","1","2026-01-28 05:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"14","7","7","2","2026-01-28 07:30:13.703505+00","2026-01-28 07:30:28.703505+00","2026-01-28 07:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"15","8","8","1","2026-01-30 04:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"16","8","8","2","2026-01-30 06:30:13.703505+00","2026-01-30 06:30:28.703505+00","2026-01-30 06:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"17","9","9","1","2026-02-07 03:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"18","9","9","2","2026-02-07 05:30:13.703505+00","2026-02-07 05:30:28.703505+00","2026-02-07 05:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"19","10","10","1","2026-01-21 02:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"20","10","10","2","2026-01-21 04:30:13.703505+00","2026-01-21 04:30:28.703505+00","2026-01-21 04:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"21","11","6","1","2026-01-24 01:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"22","11","6","2","2026-01-24 03:30:13.703505+00","2026-01-24 03:30:28.703505+00","2026-01-24 03:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"23","12","7","1","2026-02-08 00:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"24","12","7","2","2026-02-08 02:30:13.703505+00","2026-02-08 02:30:28.703505+00","2026-02-08 02:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"25","13","8","1","2026-02-02 11:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"26","13","8","2","2026-02-02 13:30:13.703505+00","2026-02-02 13:30:28.703505+00","2026-02-02 13:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"27","14","9","1","2026-02-09 10:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"28","14","9","2","2026-02-09 12:30:13.703505+00","2026-02-09 12:30:28.703505+00","2026-02-09 12:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"29","15","10","1","2026-02-06 09:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"30","15","10","2","2026-02-06 11:30:13.703505+00","2026-02-06 11:30:28.703505+00","2026-02-06 11:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"31","16","6","1","2026-02-05 08:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
"32","16","6","2","2026-02-05 10:30:13.703505+00","2026-02-05 10:30:28.703505+00","2026-02-05 10:33:13.703505+00","ANSWERED","2026-02-20 10:25:14.187804+00",
"33","17","7","1","2026-01-31 07:30:13.703505+00",,,"MISSED","2026-02-20 10:25:14.187804+00",
