id,assignment_id,solver_id,attempt_number,initiated_at,answered_at,ended_at,status,updated_at,call_sid
152,78,10,1,2024-01-19 13:19:08.000000+00,2024-01-19 13:19:27.000000+00,2024-01-19 13:23:04.000000+00,ANSWERED,2024-01-19 13:24:08.000000+00,
153,79,10,1,2024-02-02 14:34:33.000000+00,2024-02-02 14:34:49.000000+00,2024-02-02 14:37:56.000000+00,ANSWERED,2024-02-02 14:39:33.000000+00,
154,80,6,1,2024-02-03 10:51:56.000000+00,,,MISSED,2024-02-03 10:56:56.000000+00,
155,80,6,2,2024-02-03 14:51:56.000000+00,2024-02-03 14:52:07.000000+00,2024-02-03 14:56:00.000000+00,ANSWERED,2024-02-03 14:56:56.000000+00,
156,81,10,1,2024-02-05 14:54:59.000000+00,2024-02-05 14:55:11.000000+00,2024-02-05 14:57:39.000000+00,ANSWERED,2024-02-05 14:59:59.000000+00,
157,82,6,1,2024-02-07 19:10:46.000000+00,,,MISSED,2024-02-07 19:15:46.000000+00,
158,82,6,2,2024-02-07 21:10:46.000000+00,,,MISSED,2024-02-07 21:15:46.000000+00,
159,82,6,3,2024-02-07 23:10:46.000000+00,,,MISSED,2024-02-07 23:15:46.000000+00,
160,83,6,1,2024-02-17 11:39:48.000000+00,,,MISSED,2024-02-17 11:44:48.000000+00,
161,83,6,2,2024-02-17 13:39:48.000000+00,2024-02-17 13:40:12.000000+00,2024-02-17 13:43:10.000000+00,ANSWERED,2024-02-17 13:44:48.000000+00,
162,84,10,1,2024-03-13 10:06:37.000000+00,2024-03-13 10:06:48.000000+00,2024-03-13 10:10:40.000000+00,ANSWERED,2024-03-13 10:11:37.000000+00,
163,85,7,1,2024-03-18 12:47:31.000000+00,,,MISSED,2024-03-18 12:52:31.000000+00,
164,85,7,2,2024-03-18 20:47:31.000000+00,2024-03-18 20:47:45.000000+00,2024-03-18 20:51:02.000000+00,ANSWERED,2024-03-18 20:52:31.000000+00,
