id,user_id,issue_id,role_in_chat,message,attachments,created_at,updated_at,session_id
481,1.0,93,USER,connectivity issue Vepery,[],2024-01-19 12:14:08.000000+00,2024-01-19 12:14:08.000000+00,49
482,,93,AI,✅ Issue #93 created: '93'. Solver assigned.,[],2024-01-19 12:14:11.000000+00,2024-01-19 12:14:11.000000+00,49
483,1.0,94,USER,chiller problem Vepery urgent,[],2024-02-02 13:29:33.000000+00,2024-02-02 13:29:33.000000+00,50
484,,94,AI,✅ Issue #94 created: '94'. Solver assigned.,[],2024-02-02 13:29:36.000000+00,2024-02-02 13:29:36.000000+00,50
485,1.0,96,USER,internet not working Vepery,[],2024-02-05 13:49:59.000000+00,2024-02-05 13:49:59.000000+00,51
486,,96,AI,✅ Issue #96 created: '96'. Solver assigned.,[],2024-02-05 13:50:02.000000+00,2024-02-05 13:50:02.000000+00,51
487,1.0,97,USER,motor issue at Vepery site,[],2024-02-07 17:05:46.000000+00,2024-02-07 17:05:46.000000+00,52
488,,97,AI,✅ Issue #97 created: '97'. Solver assigned.,[],2024-02-07 17:05:49.000000+00,2024-02-07 17:05:49.000000+00,52
489,1.0,99,USER,internet not working Vepery,[],2024-03-13 09:01:37.000000+00,2024-03-13 09:01:37.000000+00,53
490,,99,AI,✅ Issue #99 created: '99'. Solver assigned.,[],2024-03-13 09:01:40.000000+00,2024-03-13 09:01:40.000000+00,53
491,1.0,102,USER,lights not working Vepery,[],2024-03-25 15:06:15.000000+00,2024-03-25 15:06:15.000000+00,54
492,,102,AI,✅ Issue #102 created: '102'. Solver assigned.,[],2024-03-25 15:06:18.000000+00,2024-03-25 15:06:18.000000+00,54
493,1.0,103,USER,network down in Vepery,[],2024-03-28 13:03:41.000000+00,2024-03-28 13:03:41.000000+00,55
494,,103,AI,✅ Issue #103 created: '103'. Solver assigned.,[],2024-03-28 13:03:44.000000+00,2024-03-28 13:03:44.000000+00,55
495,1.0,104,USER,motor issue at Vepery site,[],2024-05-07 09:24:00.000000+00,2024-05-07 09:24:00.000000+00,56
496,,104,AI,✅ Issue #104 created: '104'. Solver assigned.,[],2024-05-07 09:24:03.000000+00,2024-05-07 09:24:03.000000+00,56
497,1.0,105,USER,door not closing Vepery,[],2024-05-13 13:34:03.000000+00,2024-05-13 13:34:03.000000+00,57
498,,105,AI,✅ Issue #105 created: '105'. Solver assigned.,[],2024-05-13 13:34:06.000000+00,2024-05-13 13:34:06.000000+00,57
499,1.0,111,USER,carpentry work needed Vepery,[],2024-06-23 16:03:05.000000+00,2024-06-23 16:03:05.000000+00,58
500,,111,AI,✅ Issue #111 created: '111'. Solver assigned.,[],2024-06-23 16:03:08.000000+00,2024-06-23 16:03:08.000000+00,58
501,1.0,112,USER,pipe broken in Vepery site need to fix,[],2024-06-25 12:00:07.000000+00,2024-06-25 12:00:07.000000+00,59
502,,112,AI,✅ Issue #112 created: '112'. Solver assigned.,[],2024-06-25 12:00:10.000000+00,2024-06-25 12:00:10.000000+00,59
503,1.0,114,USER,water leakage at Vepery,[],2024-06-30 15:56:26.000000+00,2024-06-30 15:56:26.000000+00,60
504,,114,AI,✅ Issue #114 created: '114'. Solver assigned.,[],2024-06-30 15:56:29.000000+00,2024-06-30 15:56:29.000000+00,60
505,1.0,115,USER,equipment failure Vepery,[],2024-07-02 12:02:54.000000+00,2024-07-02 12:02:54.000000+00,61
506,,115,AI,✅ Issue #115 created: '115'. Solver assigned.,[],2024-07-02 12:02:57.000000+00,2024-07-02 12:02:57.000000+00,61
507,1.0,116,USER,water leakage at Vepery,[],2024-07-13 12:17:55.000000+00,2024-07-13 12:17:55.000000+00,62
508,,116,AI,✅ Issue #116 created: '116'. Solver assigned.,[],2024-07-13 12:17:58.000000+00,2024-07-13 12:17:58.000000+00,62
509,1.0,117,USER,water leakage at Vepery,[],2024-07-24 10:16:02.000000+00,2024-07-24 10:16:02.000000+00,63
510,,117,AI,✅ Issue #117 created: '117'. Solver assigned.,[],2024-07-24 10:16:05.000000+00,2024-07-24 10:16:05.000000+00,63
511,1.0,120,USER,wall peeling at Vepery,[],2024-07-28 11:13:27.000000+00,2024-07-28 11:13:27.000000+00,64
512,,120,AI,✅ Issue #120 created: '120'. Solver assigned.,[],2024-07-28 11:13:30.000000+00,2024-07-28 11:13:30.000000+00,64
513,1.0,121,USER,wall crack at Vepery,[],2024-08-02 13:05:52.000000+00,2024-08-02 13:05:52.000000+00,65
514,,121,AI,✅ Issue #121 created: '121'. Solver assigned.,[],2024-08-02 13:05:55.000000+00,2024-08-02 13:05:55.000000+00,65
515,1.0,122,USER,window broken at Vepery,[],2024-08-04 15:29:26.000000+00,2024-08-04 15:29:26.000000+00,66
516,,122,AI,✅ Issue #122 created: '122'. Solver assigned.,[],2024-08-04 15:29:29.000000+00,2024-08-04 15:29:29.000000+00,66
517,1.0,123,USER,mechanical fault Vepery urgent,[],2024-08-13 15:44:33.000000+00,2024-08-13 15:44:33.000000+00,67
518,,123,AI,✅ Issue #123 created: '123'. Solver assigned.,[],2024-08-13 15:44:36.000000+00,2024-08-13 15:44:36.000000+00,67
519,1.0,124,USER,mechanical fault Vepery urgent,[],2024-08-31 13:48:57.000000+00,2024-08-31 13:48:57.000000+00,68
520,,124,AI,✅ Issue #124 created: '124'. Solver assigned.,[],2024-08-31 13:49:00.000000+00,2024-08-31 13:49:00.000000+00,68
521,1.0,128,USER,internet not working Vepery,[],2024-10-07 16:53:26.000000+00,2024-10-07 16:53:26.000000+00,69
522,,128,AI,✅ Issue #128 created: '128'. Solver assigned.,[],2024-10-07 16:53:29.000000+00,2024-10-07 16:53:29.000000+00,69
523,1.0,129,USER,motor issue at Vepery site,[],2024-10-11 12:10:53.000000+00,2024-10-11 12:10:53.000000+00,70
524,,129,AI,✅ Issue #129 created: '129'. Solver assigned.,[],2024-10-11 12:10:56.000000+00,2024-10-11 12:10:56.000000+00,70
525,1.0,130,USER,power issue at Vepery,[],2024-10-17 09:24:20.000000+00,2024-10-17 09:24:20.000000+00,71
526,,130,AI,✅ Issue #130 created: '130'. Solver assigned.,[],2024-10-17 09:24:23.000000+00,2024-10-17 09:24:23.000000+00,71
527,1.0,133,USER,plumbing issue urgent at Vepery,[],2024-11-18 15:10:19.000000+00,2024-11-18 15:10:19.000000+00,72
528,,133,AI,✅ Issue #133 created: '133'. Solver assigned.,[],2024-11-18 15:10:22.000000+00,2024-11-18 15:10:22.000000+00,72
529,1.0,135,USER,HVAC issue at Vepery site,[],2025-01-17 12:32:41.000000+00,2025-01-17 12:32:41.000000+00,73
530,,135,AI,✅ Issue #135 created: '135'. Solver assigned.,[],2025-01-17 12:32:44.000000+00,2025-01-17 12:32:44.000000+00,73
531,1.0,137,USER,machine breakdown at Vepery,[],2025-02-15 16:15:48.000000+00,2025-02-15 16:15:48.000000+00,74
532,,137,AI,✅ Issue #137 created: '137'. Solver assigned.,[],2025-02-15 16:15:51.000000+00,2025-02-15 16:15:51.000000+00,74
533,1.0,138,USER,AC not cooling in Vepery,[],2025-02-20 11:38:44.000000+00,2025-02-20 11:38:44.000000+00,75
534,,138,AI,✅ Issue #138 created: '138'. Solver assigned.,[],2025-02-20 11:38:47.000000+00,2025-02-20 11:38:47.000000+00,75
535,1.0,139,USER,mechanical fault Vepery urgent,[],2025-02-24 14:41:45.000000+00,2025-02-24 14:41:45.000000+00,76
536,,139,AI,✅ Issue #139 created: '139'. Solver assigned.,[],2025-02-24 14:41:48.000000+00,2025-02-24 14:41:48.000000+00,76
537,1.0,140,USER,HVAC issue at Vepery site,[],2025-02-27 12:47:35.000000+00,2025-02-27 12:47:35.000000+00,77
538,,140,AI,✅ Issue #140 created: '140'. Solver assigned.,[],2025-02-27 12:47:38.000000+00,2025-02-27 12:47:38.000000+00,77
539,1.0,141,USER,electrical fault Vepery critical,[],2025-03-11 17:44:11.000000+00,2025-03-11 17:44:11.000000+00,78
540,,141,AI,✅ Issue #141 created: '141'. Solver assigned.,[],2025-03-11 17:44:14.000000+00,2025-03-11 17:44:14.000000+00,78
541,1.0,142,USER,chiller problem Vepery urgent,[],2025-03-16 08:34:08.000000+00,2025-03-16 08:34:08.000000+00,79
542,,142,AI,✅ Issue #142 created: '142'. Solver assigned.,[],2025-03-16 08:34:11.000000+00,2025-03-16 08:34:11.000000+00,79
