id,assignment_id,solver_id,attempt_number,initiated_at,answered_at,ended_at,status,updated_at,call_sid
1,1,10,1,2022-08-21 17:12:15.000000+00,,,INITIATED,2022-08-21 17:12:15.000000+00,
2,2,8,1,2023-04-27 18:25:56.000000+00,,,MISSED,2023-04-27 18:27:56.000000+00,
3,2,8,2,2023-04-28 02:25:56.000000+00,2023-04-28 02:26:16.000000+00,2023-04-28 02:29:03.000000+00,ANSWERED,2023-04-28 02:29:03.000000+00,
4,3,9,1,2023-09-24 14:43:54.000000+00,2023-09-24 14:44:10.000000+00,2023-09-24 14:48:57.000000+00,ANSWERED,2023-09-24 14:48:57.000000+00,
5,4,10,1,2022-07-15 12:56:03.000000+00,,,MISSED,2022-07-15 12:58:03.000000+00,
6,4,10,2,2022-07-15 16:56:03.000000+00,,,MISSED,2022-07-15 16:58:03.000000+00,
7,4,10,3,2022-07-15 20:56:03.000000+00,2022-07-15 20:56:26.000000+00,2022-07-15 20:58:08.000000+00,ANSWERED,2022-07-15 20:58:08.000000+00,
8,5,9,1,2022-01-08 12:59:41.000000+00,2022-01-08 12:59:49.000000+00,2022-01-08 13:02:53.000000+00,ANSWERED,2022-01-08 13:02:53.000000+00,
9,6,7,1,2024-10-03 12:20:09.000000+00,,,MISSED,2024-10-03 12:22:09.000000+00,
10,6,7,2,2024-10-03 20:20:09.000000+00,,,MISSED,2024-10-03 20:22:09.000000+00,
11,6,7,3,2024-10-04 04:20:09.000000+00,,,MISSED,2024-10-04 04:22:09.000000+00,
12,6,7,4,2024-10-04 12:20:09.000000+00,,,MISSED,2024-10-04 12:22:09.000000+00,
13,6,7,5,2024-10-04 20:20:09.000000+00,,,MISSED,2024-10-04 20:22:09.000000+00,
14,7,7,1,2024-06-06 18:51:19.000000+00,,,MISSED,2024-06-06 18:53:19.000000+00,
15,7,7,2,2024-06-06 20:51:19.000000+00,,,MISSED,2024-06-06 20:53:19.000000+00,
16,7,7,3,2024-06-06 22:51:19.000000+00,,,MISSED,2024-06-06 22:53:19.000000+00,
17,8,9,1,2025-01-31 14:33:47.000000+00,2025-01-31 14:34:10.000000+00,2025-01-31 14:37:42.000000+00,ANSWERED,2025-01-31 14:37:42.000000+00,
18,9,8,1,2026-01-08 17:07:12.000000+00,2026-01-08 17:07:29.000000+00,2026-01-08 17:10:59.000000+00,ANSWERED,2026-01-08 17:10:59.000000+00,
19,10,10,1,2023-10-01 18:25:05.000000+00,,,MISSED,2023-10-01 18:27:05.000000+00,
20,10,10,2,2023-10-01 22:25:05.000000+00,2023-10-01 22:25:28.000000+00,2023-10-01 22:27:50.000000+00,ANSWERED,2023-10-01 22:27:50.000000+00,
21,11,9,1,2022-06-19 16:49:32.000000+00,,,MISSED,2022-06-19 16:51:32.000000+00,
22,11,9,2,2022-06-20 00:49:32.000000+00,2022-06-20 00:49:54.000000+00,2022-06-20 00:53:47.000000+00,ANSWERED,2022-06-20 00:53:47.000000+00,
23,12,7,1,2025-07-16 18:49:21.000000+00,2025-07-16 18:49:37.000000+00,2025-07-16 18:51:16.000000+00,ANSWERED,2025-07-16 18:51:16.000000+00,
24,13,9,1,2025-01-09 16:34:46.000000+00,,,INITIATED,2025-01-09 16:34:46.000000+00,
25,14,9,1,2024-09-07 15:18:08.000000+00,2024-09-07 15:18:19.000000+00,2024-09-07 15:21:09.000000+00,ANSWERED,2024-09-07 15:21:09.000000+00,
26,15,8,1,2025-11-27 06:27:55.000000+00,2025-11-27 06:28:05.000000+00,2025-11-27 06:29:49.000000+00,ANSWERED,2025-11-27 06:29:49.000000+00,
27,16,9,1,2024-05-08 08:38:01.000000+00,2024-05-08 08:38:19.000000+00,2024-05-08 08:42:57.000000+00,ANSWERED,2024-05-08 08:42:57.000000+00,
28,17,7,1,2022-06-15 14:12:35.000000+00,,,MISSED,2022-06-15 14:14:35.000000+00,
29,17,7,2,2022-06-15 18:12:35.000000+00,,,MISSED,2022-06-15 18:14:35.000000+00,
30,18,8,1,2024-09-16 06:57:16.000000+00,,,MISSED,2024-09-16 06:59:16.000000+00,
31,18,8,2,2024-09-16 08:57:16.000000+00,2024-09-16 08:57:29.000000+00,2024-09-16 08:59:15.000000+00,ANSWERED,2024-09-16 08:59:15.000000+00,
32,19,9,1,2025-10-02 11:30:23.000000+00,,,MISSED,2025-10-02 11:32:23.000000+00,
33,19,9,2,2025-10-02 19:30:23.000000+00,2025-10-02 19:30:37.000000+00,2025-10-02 19:34:51.000000+00,ANSWERED,2025-10-02 19:34:51.000000+00,
34,20,9,1,2022-07-11 08:19:46.000000+00,,,MISSED,2022-07-11 08:21:46.000000+00,
35,20,9,2,2022-07-11 12:19:46.000000+00,2022-07-11 12:20:05.000000+00,2022-07-11 12:22:10.000000+00,ANSWERED,2022-07-11 12:22:10.000000+00,
36,21,6,1,2022-03-08 13:46:30.000000+00,2022-03-08 13:46:44.000000+00,2022-03-08 13:50:43.000000+00,ANSWERED,2022-03-08 13:50:43.000000+00,
37,22,9,1,2025-03-01 09:12:47.000000+00,2025-03-01 09:13:00.000000+00,2025-03-01 09:16:34.000000+00,ANSWERED,2025-03-01 09:16:34.000000+00,
38,23,7,1,2023-07-16 17:10:52.000000+00,2023-07-16 17:11:00.000000+00,2023-07-16 17:13:02.000000+00,ANSWERED,2023-07-16 17:13:02.000000+00,
39,24,7,1,2022-06-18 15:32:48.000000+00,2022-06-18 15:33:10.000000+00,2022-06-18 15:34:56.000000+00,ANSWERED,2022-06-18 15:34:56.000000+00,
40,25,6,1,2022-03-04 13:02:35.000000+00,,,MISSED,2022-03-04 13:04:35.000000+00,
41,25,6,2,2022-03-04 17:02:35.000000+00,2022-03-04 17:02:43.000000+00,2022-03-04 17:07:21.000000+00,ANSWERED,2022-03-04 17:07:21.000000+00,
42,26,9,1,2024-11-02 07:37:37.000000+00,,,MISSED,2024-11-02 07:39:37.000000+00,
43,26,9,2,2024-11-02 11:37:37.000000+00,2024-11-02 11:38:02.000000+00,2024-11-02 11:40:49.000000+00,ANSWERED,2024-11-02 11:40:49.000000+00,
44,27,8,1,2022-06-09 15:49:44.000000+00,2022-06-09 15:50:05.000000+00,2022-06-09 15:53:28.000000+00,ANSWERED,2022-06-09 15:53:28.000000+00,
45,28,9,1,2023-03-26 11:04:01.000000+00,2023-03-26 11:04:21.000000+00,2023-03-26 11:07:22.000000+00,ANSWERED,2023-03-26 11:07:22.000000+00,
46,29,10,1,2026-01-04 17:41:51.000000+00,,,MISSED,2026-01-04 17:43:51.000000+00,
47,29,10,2,2026-01-05 01:41:51.000000+00,2026-01-05 01:42:06.000000+00,2026-01-05 01:45:16.000000+00,ANSWERED,2026-01-05 01:45:16.000000+00,
48,30,9,1,2025-10-13 10:39:50.000000+00,,,MISSED,2025-10-13 10:41:50.000000+00,
49,30,9,2,2025-10-13 14:39:50.000000+00,,,MISSED,2025-10-13 14:41:50.000000+00,
50,30,9,3,2025-10-13 18:39:50.000000+00,2025-10-13 18:40:14.000000+00,2025-10-13 18:44:29.000000+00,ANSWERED,2025-10-13 18:44:29.000000+00,
51,31,9,1,2023-04-03 17:01:19.000000+00,,,MISSED,2023-04-03 17:03:19.000000+00,
52,31,9,2,2023-04-04 01:01:19.000000+00,2023-04-04 01:01:29.000000+00,2023-04-04 01:04:24.000000+00,ANSWERED,2023-04-04 01:04:24.000000+00,
53,32,7,1,2025-07-27 15:13:08.000000+00,,,MISSED,2025-07-27 15:15:08.000000+00,
54,32,7,2,2025-07-27 19:13:08.000000+00,2025-07-27 19:13:27.000000+00,2025-07-27 19:15:51.000000+00,ANSWERED,2025-07-27 19:15:51.000000+00,
55,33,6,1,2024-08-24 16:35:09.000000+00,2024-08-24 16:35:29.000000+00,2024-08-24 16:38:55.000000+00,ANSWERED,2024-08-24 16:38:55.000000+00,
56,34,7,1,2025-03-09 16:51:14.000000+00,,,MISSED,2025-03-09 16:53:14.000000+00,
57,34,7,2,2025-03-09 18:51:14.000000+00,,,MISSED,2025-03-09 18:53:14.000000+00,
58,34,7,3,2025-03-09 20:51:14.000000+00,,,MISSED,2025-03-09 20:53:14.000000+00,
59,34,7,4,2025-03-09 22:51:14.000000+00,,,MISSED,2025-03-09 22:53:14.000000+00,
60,35,9,1,2025-10-25 08:58:52.000000+00,,,MISSED,2025-10-25 09:00:52.000000+00,
61,35,9,2,2025-10-25 10:58:52.000000+00,2025-10-25 10:59:16.000000+00,2025-10-25 11:03:14.000000+00,ANSWERED,2025-10-25 11:03:14.000000+00,
62,36,9,1,2024-05-29 13:06:35.000000+00,2024-05-29 13:06:53.000000+00,2024-05-29 13:08:26.000000+00,ANSWERED,2024-05-29 13:08:26.000000+00,
63,37,9,1,2025-05-02 17:29:22.000000+00,,,MISSED,2025-05-02 17:31:22.000000+00,
64,37,9,2,2025-05-02 19:29:22.000000+00,,,MISSED,2025-05-02 19:31:22.000000+00,
65,37,9,3,2025-05-02 21:29:22.000000+00,,,MISSED,2025-05-02 21:31:22.000000+00,
66,38,8,1,2024-11-09 22:29:32.000000+00,2024-11-09 22:29:47.000000+00,2024-11-09 22:31:29.000000+00,ANSWERED,2024-11-09 22:31:29.000000+00,
67,39,9,1,2022-10-26 07:53:13.000000+00,,,MISSED,2022-10-26 07:55:13.000000+00,
68,39,9,2,2022-10-26 15:53:13.000000+00,2022-10-26 15:53:25.000000+00,2022-10-26 15:55:56.000000+00,ANSWERED,2022-10-26 15:55:56.000000+00,
69,40,9,1,2022-02-15 18:12:42.000000+00,,,MISSED,2022-02-15 18:14:42.000000+00,
70,40,9,2,2022-02-15 20:12:42.000000+00,,,MISSED,2022-02-15 20:14:42.000000+00,
71,40,9,3,2022-02-15 22:12:42.000000+00,,,MISSED,2022-02-15 22:14:42.000000+00,
72,40,9,4,2022-02-16 00:12:42.000000+00,,,MISSED,2022-02-16 00:14:42.000000+00,
