id,issue_id,assignment_id,raised_by_supervisor_id,target_solver_id,complaint_details,complaint_image_url,created_at,updated_at
1,5,4,2,10,Solver did not respond on time.,https://storage.facility.com/complaints/comp_1.jpg,2022-07-25 12:51:03.000000+00,2022-07-25 14:51:03.000000+00
2,12,10,1,10,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_2.jpg,2023-10-06 18:20:05.000000+00,2023-10-06 19:20:05.000000+00
3,33,27,3,8,Work not completed as per standards.,https://storage.facility.com/complaints/comp_3.jpg,2022-06-14 15:44:44.000000+00,2022-06-14 16:44:44.000000+00
4,34,28,2,9,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_4.jpg,2023-04-09 10:59:01.000000+00,2023-04-10 02:59:01.000000+00
5,40,34,1,7,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_5.jpg,2025-03-19 16:46:14.000000+00,2025-03-19 20:46:14.000000+00
6,42,36,1,9,Work not completed as per standards.,https://storage.facility.com/complaints/comp_6.jpg,2024-06-10 13:01:35.000000+00,2024-06-11 05:01:35.000000+00
7,49,44,1,7,Work not completed as per standards.,https://storage.facility.com/complaints/comp_7.jpg,2022-04-02 12:05:18.000000+00,2022-04-03 04:05:18.000000+00
8,50,45,2,10,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_8.jpg,2025-09-24 15:41:26.000000+00,2025-09-24 16:41:26.000000+00
9,52,47,1,10,Work quality not satisfactory.,https://storage.facility.com/complaints/comp_9.jpg,2022-02-01 09:47:55.000000+00,2022-02-02 02:47:55.000000+00
10,59,55,3,9,Work not completed as per standards.,https://storage.facility.com/complaints/comp_10.jpg,2022-06-18 16:06:59.000000+00,2022-06-19 11:06:59.000000+00
11,88,82,2,9,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_11.jpg,2023-07-17 14:39:33.000000+00,2023-07-18 01:39:33.000000+00
12,89,83,1,9,Solver did not respond on time.,https://storage.facility.com/complaints/comp_12.jpg,2024-01-27 13:08:15.000000+00,2024-01-27 15:08:15.000000+00
13,108,101,3,7,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_13.jpg,2025-06-21 11:01:36.000000+00,2025-06-21 20:01:36.000000+00
14,125,117,2,7,Solver did not respond on time.,https://storage.facility.com/complaints/comp_14.jpg,2023-06-27 17:31:52.000000+00,2023-06-27 21:31:52.000000+00
15,126,118,3,10,Improper repair done.,https://storage.facility.com/complaints/comp_15.jpg,2026-01-04 13:34:23.000000+00,2026-01-04 14:34:23.000000+00
16,128,120,1,10,Solver did not respond on time.,https://storage.facility.com/complaints/comp_16.jpg,2022-04-08 17:03:28.000000+00,2022-04-09 02:03:28.000000+00
17,157,146,2,7,Improper repair done.,https://storage.facility.com/complaints/comp_17.jpg,2022-08-29 14:37:42.000000+00,2022-08-30 12:37:42.000000+00
18,158,147,3,10,Work quality not satisfactory.,https://storage.facility.com/complaints/comp_18.jpg,2025-01-23 09:50:37.000000+00,2025-01-23 16:50:37.000000+00
19,199,185,2,8,Solver did not respond on time.,https://storage.facility.com/complaints/comp_19.jpg,2024-08-06 15:45:50.000000+00,2024-08-06 16:45:50.000000+00
20,203,190,3,7,Improper repair done.,https://storage.facility.com/complaints/comp_20.jpg,2025-03-18 12:14:19.000000+00,2025-03-18 17:14:19.000000+00
21,220,206,2,7,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_21.jpg,2024-06-01 11:33:30.000000+00,2024-06-02 08:33:30.000000+00
22,237,222,2,7,Improper repair done.,https://storage.facility.com/complaints/comp_22.jpg,2025-11-09 17:40:59.000000+00,2025-11-09 18:40:59.000000+00
23,238,223,3,10,Work quality not satisfactory.,https://storage.facility.com/complaints/comp_23.jpg,2022-12-21 09:29:57.000000+00,2022-12-22 09:29:57.000000+00
24,255,239,1,10,Work quality not satisfactory.,https://storage.facility.com/complaints/comp_24.jpg,2024-06-13 12:33:53.000000+00,2024-06-13 18:33:53.000000+00
25,256,240,2,9,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_25.jpg,2024-05-02 15:30:16.000000+00,2024-05-03 14:30:16.000000+00
26,279,262,2,8,Work quality not satisfactory.,https://storage.facility.com/complaints/comp_26.jpg,2025-01-22 02:21:10.000000+00,2025-01-22 03:21:10.000000+00
27,285,267,1,10,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_27.jpg,2022-05-24 14:23:23.000000+00,2022-05-25 02:23:23.000000+00
28,308,285,2,9,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_28.jpg,2024-03-31 08:02:01.000000+00,2024-03-31 16:02:01.000000+00
29,313,293,3,7,Improper repair done.,https://storage.facility.com/complaints/comp_29.jpg,2022-08-21 18:44:49.000000+00,2022-08-22 07:44:49.000000+00
30,322,301,1,9,Solver did not respond on time.,https://storage.facility.com/complaints/comp_30.jpg,2025-06-02 18:07:34.000000+00,2025-06-03 12:07:34.000000+00
31,327,304,2,6,Improper repair done.,https://storage.facility.com/complaints/comp_31.jpg,2023-08-22 11:37:20.000000+00,2023-08-23 01:37:20.000000+00
32,334,311,3,10,Solver did not respond on time.,https://storage.facility.com/complaints/comp_32.jpg,2022-04-30 08:49:22.000000+00,2022-05-01 08:49:22.000000+00
33,335,312,1,6,Solver did not respond on time.,https://storage.facility.com/complaints/comp_33.jpg,2022-01-22 16:47:26.000000+00,2022-01-23 03:47:26.000000+00
34,345,323,2,10,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_34.jpg,2023-05-29 10:38:46.000000+00,2023-05-30 10:38:46.000000+00
35,347,325,1,7,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_35.jpg,2022-04-16 09:55:30.000000+00,2022-04-17 06:55:30.000000+00
36,361,336,1,10,Work quality not satisfactory.,https://storage.facility.com/complaints/comp_36.jpg,2026-01-01 01:51:06.000000+00,2026-01-02 00:51:06.000000+00
37,367,342,3,8,Work not completed as per standards.,https://storage.facility.com/complaints/comp_37.jpg,2023-09-03 16:14:34.000000+00,2023-09-04 01:14:34.000000+00
38,370,345,3,10,Improper repair done.,https://storage.facility.com/complaints/comp_38.jpg,2023-12-25 07:21:42.000000+00,2023-12-25 21:21:42.000000+00
39,377,351,3,10,Solver did not respond on time.,https://storage.facility.com/complaints/comp_39.jpg,2024-12-11 16:43:22.000000+00,2024-12-12 03:43:22.000000+00
40,381,354,1,7,Solver did not respond on time.,https://storage.facility.com/complaints/comp_40.jpg,2023-03-22 13:59:55.000000+00,2023-03-22 17:59:55.000000+00
41,409,382,1,10,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_41.jpg,2023-03-01 10:48:39.000000+00,2023-03-02 06:48:39.000000+00
42,418,389,1,10,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_42.jpg,2025-12-20 15:26:18.000000+00,2025-12-21 15:26:18.000000+00
43,423,394,2,6,Improper repair done.,https://storage.facility.com/complaints/comp_43.jpg,2024-05-24 19:05:24.000000+00,2024-05-25 02:05:24.000000+00
44,426,397,1,8,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_44.jpg,2025-05-30 15:19:30.000000+00,2025-05-31 14:19:30.000000+00
45,434,406,1,9,Solver did not respond on time.,https://storage.facility.com/complaints/comp_45.jpg,2025-07-23 10:26:20.000000+00,2025-07-23 20:26:20.000000+00
46,437,409,2,7,Solver did not respond on time.,https://storage.facility.com/complaints/comp_46.jpg,2024-01-15 10:51:58.000000+00,2024-01-15 16:51:58.000000+00
47,459,427,1,9,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_47.jpg,2022-12-18 16:46:38.000000+00,2022-12-19 08:46:38.000000+00
48,462,430,2,9,Improper repair done.,https://storage.facility.com/complaints/comp_48.jpg,2022-08-01 04:46:26.000000+00,2022-08-01 22:46:26.000000+00
49,465,433,2,9,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_49.jpg,2025-10-27 16:55:52.000000+00,2025-10-28 12:55:52.000000+00
50,467,435,3,10,Work not completed as per standards.,https://storage.facility.com/complaints/comp_50.jpg,2024-09-12 12:29:07.000000+00,2024-09-12 22:29:07.000000+00
51,468,436,2,10,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_51.jpg,2024-06-20 10:30:04.000000+00,2024-06-21 10:30:04.000000+00
52,488,454,1,6,Work not completed as per standards.,https://storage.facility.com/complaints/comp_52.jpg,2024-06-17 09:30:53.000000+00,2024-06-18 02:30:53.000000+00
53,497,462,3,10,Improper repair done.,https://storage.facility.com/complaints/comp_53.jpg,2022-02-28 17:54:36.000000+00,2022-03-01 00:54:36.000000+00
54,498,463,2,9,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_54.jpg,2025-04-16 21:03:32.000000+00,2025-04-17 08:03:32.000000+00
55,500,465,2,10,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_55.jpg,2023-11-06 08:10:04.000000+00,2023-11-06 19:10:04.000000+00
56,525,490,2,10,Work not completed as per standards.,https://storage.facility.com/complaints/comp_56.jpg,2022-04-12 13:00:02.000000+00,2022-04-13 01:00:02.000000+00
57,526,491,1,8,Work not completed as per standards.,https://storage.facility.com/complaints/comp_57.jpg,2022-08-19 13:55:17.000000+00,2022-08-20 06:55:17.000000+00
58,533,499,3,9,Work not completed as per standards.,https://storage.facility.com/complaints/comp_58.jpg,2025-06-05 02:12:58.000000+00,2025-06-05 23:12:58.000000+00
59,534,500,2,6,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_59.jpg,2022-01-15 12:15:44.000000+00,2022-01-16 10:15:44.000000+00
60,540,506,2,10,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_60.jpg,2024-11-28 02:56:48.000000+00,2024-11-28 08:56:48.000000+00
61,541,507,2,6,Work quality not satisfactory.,https://storage.facility.com/complaints/comp_61.jpg,2023-01-02 14:06:27.000000+00,2023-01-03 03:06:27.000000+00
62,560,526,1,10,Work quality not satisfactory.,https://storage.facility.com/complaints/comp_62.jpg,2025-07-09 12:32:54.000000+00,2025-07-10 07:32:54.000000+00
63,568,535,3,6,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_63.jpg,2024-10-27 10:18:42.000000+00,2024-10-27 22:18:42.000000+00
64,572,539,3,10,Work not completed as per standards.,https://storage.facility.com/complaints/comp_64.jpg,2022-09-21 12:10:39.000000+00,2022-09-21 19:10:39.000000+00
65,580,546,1,8,Work not completed as per standards.,https://storage.facility.com/complaints/comp_65.jpg,2024-12-31 15:11:34.000000+00,2025-01-01 15:11:34.000000+00
66,582,548,2,7,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_66.jpg,2024-10-02 11:37:31.000000+00,2024-10-03 02:37:31.000000+00
67,592,558,1,7,Improper repair done.,https://storage.facility.com/complaints/comp_67.jpg,2022-04-29 12:37:23.000000+00,2022-04-29 19:37:23.000000+00
68,628,593,2,10,Solver missed multiple calls.,https://storage.facility.com/complaints/comp_68.jpg,2025-03-27 18:54:22.000000+00,2025-03-28 18:54:22.000000+00
69,664,631,1,6,Work not completed as per standards.,https://storage.facility.com/complaints/comp_69.jpg,2023-10-13 15:59:36.000000+00,2023-10-14 10:59:36.000000+00
70,670,637,3,9,Issue persists after claimed resolution.,https://storage.facility.com/complaints/comp_70.jpg,2022-02-23 10:30:14.000000+00,2022-02-24 04:30:14.000000+00
71,674,641,3,8,Improper repair done.,https://storage.facility.com/complaints/comp_71.jpg,2024-05-24 21:49:12.000000+00,2024-05-25 10:49:12.000000+00
